Número,Nome
4,Messejana / Papicu / Cambeba / TJ
11,Circular I
12,Circular II
14,Aguanambi / Rodoviária II
15,Conjunto Ceará / Antônio Bezerra I
16,Cuca Barra / Papicu
20,Campus do Pici
21,Luciano Cavalcante / Papicu
22,Jardim das Oliveiras / Centro
24,Antônio Bezerra / Lagoa / Unifor
25,Opaia / Lagoa
26,Antônio Bezerra / Messejana
27,Siqueira / Papicu / Aeroporto
28,Antônio Bezerra / Papicu
29,Parangaba / Náutico
30,Siqueira / Papicu / 13 de Maio
31,Av. Borges de Melo / Papicu I
32,Av. Borges de Melo / Papicu II
34,Corujão / Av. Paranjana I
35,Corujão / Av. Paranjana II
36,Corujão / Conjunto Ceará / Papicu / Montese
38,Parangaba / Papicu
40,Parangaba / Lagoa
41,Parangaba / Oliveira Paiva / Papicu
42,Antônio Bezerra / Francisco Sá / Papicu
43,Conjunto Ceará / Lagoa / Fernandes Távora
44,Parangaba / Papicu / Montese
45,Conjunto Ceará / Papicu / Montese
48,Corujão / Parangaba / Papicu
49,Siqueira / Oliveira Paiva / Washington Soares
50,Siqueira / Papicu / Washington Soares
51,Grande Circular I
52,Grande Circular II
53,Messejana / Papicu / Washington Soares
55,Corujão / Grande Circular I
56,Corujão / Grande Circular II
57,Corujão / Jardim Iracema
58,Corujão / Jardim Guanabara / Nova Assunção II
60,Parquelândia / Parangaba
63,Corujão / Bom Jardim
65,Siqueira / 13 de Maio / Assembleia
66,Parangaba / Papicu / Aeroporto
67,Lagoa / Albert Sabin
68,Messejana / Papicu / Cambeba / LJ
69,Lagoa / Papicu / Via Expressa
70,Cuca Barra / Parangaba
71,Antônio Bezerra / Mucuripe
72,Antônio Bezerra / Parangaba
73,Siqueira / Praia de Iracema
74,Antônio Bezerra / Unifor
75,Campus do Pici / Unifor
76,Conjunto Ceará / Aldeota / Papicu
77,Parangaba / Mucuripe
78,Siqueira / Mucuripe / ED
79,Antônio Bezerra / Náutico
80,Francisco Sá / Parangaba
81,Conjunto Ceará / Antônio Bezerra II
82,Antônio Bezerra / Messejana / Perimetral
83,Conjunto Ceará / Lagoa / Augusto dos Anjos
84,Siqueira / Messejana / Perimetral
85,Lagoa / Aldeota
86,Bezerra de Menezes / Santos Dumont
87,Expresso / Siqueira / Papicu
88,Antônio Bezerra / Albert Sabin
89,Expresso / Parangaba / Papicu
91,Expresso / Antônio Bezerra / Parangaba
92,Antônio Bezerra / Papicu / Praia de Iracema
95,Corujão / José Walter
96,Expresso / Conjunto Ceará / Papicu
97,Antônio Bezerra / Siqueira
99,Siqueira / Mucuripe / Barão de Studart
101,Beira Rio
102,Vila Santo Antônio / Nossa Senhora Graças
106,Floresta / Centro
108,Santa Maria / Bairro Ellery
110,Vila do Mar / Centro
111,Jardim Iracema
112,Álvaro Weyne / Centro
114,Conjunto Nova Assunção / Francisco Sá
115,Jardim Guanabara / Centro
120,Vila do Mar / Náutico / Antônio Bezerra I
122,Antônio Bezerra / Álvaro Weyne
